Tissue	Direction	ID	Description	GeneSet	GeneUniverse	p.val	Annotation
Leaf	Upregulated	PF00023.23	Ank	14	106	0.0480014780136796	Pfam
Root	Downregulated	PF00931.15	NB-ARC	73	426	3.07129700275928e-10	Pfam
Root	Downregulated	PF00069.18	Pkinase	122	984	5.63392032545334e-08	Pfam
Root	Downregulated	PF02798.13	GST_N	20	72	1.27136950208175e-05	Pfam
Root	Downregulated	PF00043.18	GST_C	18	69	0.000112177279411524	Pfam
Root	Downregulated	PF02045.8	CBFB_NFYA	7	10	0.000112177279411524	Pfam
Root	Downregulated	PF00083.17	Sugar_tr	18	80	0.000639688534242825	Pfam
Root	Downregulated	PF00012.13	HSP70	9	22	0.000639688534242825	Pfam
Root	Downregulated	PF06507.6	Auxin_resp	9	24	0.0013343493453136	Pfam
Root	Downregulated	PF07714.10	Pkinase_Tyr	46	352	0.00134813432003825	Pfam
Root	Downregulated	PF01439.11	Metallothio_2	6	11	0.00187071253851826	Pfam
Root	Downregulated	PF07645.8	EGF_CA	10	35	0.00373681852959418	Pfam
Root	Downregulated	PF00450.15	Peptidase_S10	11	43	0.00455280928825686	Pfam
Root	Downregulated	PF00173.21	Cyt-b5	7	18	0.00455280928825686	Pfam
Root	Downregulated	PF00067.15	p450	34	269	0.0144185317594596	Pfam
Root	Downregulated	PF00954.13	S_locus_glycop	17	100	0.0144185317594596	Pfam
Root	Downregulated	PF00175.14	NAD_binding_1	6	16	0.0144185317594596	Pfam
Root	Downregulated	PF02990.9	EMP70	6	16	0.0144185317594596	Pfam
Root	Downregulated	PF00348.10	polyprenyl_synt	5	11	0.0149901596398609	Pfam
Root	Downregulated	PF01453.17	B_lectin	19	120	0.0155453969970659	Pfam
Root	Downregulated	PF01554.11	MatE	11	51	0.015763263632987	Pfam
Root	Downregulated	PF00560.26	LRR_1	51	463	0.015763263632987	Pfam
Root	Downregulated	PF02362.14	B3	12	61	0.0194982441320041	Pfam
Root	Downregulated	PF03822.7	NAF	8	32	0.0268210662940075	Pfam
Root	Downregulated	PF07526.4	POX	5	13	0.027617288963318	Pfam
Root	Downregulated	PF00092.21	VWA	6	19	0.0283726070080098	Pfam
Root	Downregulated	PF07765.5	KIP1	5	14	0.036383891462222	Pfam
Root	Downregulated	PF07887.4	Calmodulin_bind	6	21	0.0440058977945116	Pfam
Root	Downregulated	PF01145.18	Band_7	5	15	0.044641714575276	Pfam
Root	Downregulated	PF01699.17	Na_Ca_ex	5	15	0.044641714575276	Pfam
Root	Downregulated	PF00854.14	PTR2	13	79	0.0452956316875635	Pfam
Root	Downregulated	PF08276.4	PAN_2	13	79	0.0452956316875635	Pfam
Root	Downregulated	PF00118.17	Cpn60_TCP1	7	29	0.04773081025028	Pfam
Root	Downregulated	PF04578.6	DUF594	11	62	0.0483005577253738	Pfam
Root	Upregulated	PF02992.7	Transposase_21	31	173	0.000268307630906914	Pfam
Root	Upregulated	PF02358.9	Trehalose_PPase	9	21	0.000639688534242825	Pfam
Root	Upregulated	PF01842.18	ACT	10	29	0.00134813432003825	Pfam
Root	Upregulated	PF00982.14	Glyco_transf_20	6	10	0.00134813432003825	Pfam
Root	Upregulated	PF00097.18	zf-C3HC4	40	280	0.00140038958204225	Pfam
Root	Upregulated	PF03106.8	WRKY	19	97	0.00261158429461856	Pfam
Root	Upregulated	PF00646.26	F-box	35	242	0.00278621136840095	Pfam
Root	Upregulated	PF00228.13	Bowman-Birk_leg	5	10	0.0132421414792693	Pfam
Root	Upregulated	PF07847.5	DUF1637	5	11	0.015763263632987	Pfam
Root	Upregulated	PF00332.11	Glyco_hydro_17	12	57	0.015763263632987	Pfam
Root	Upregulated	PF10604.2	Polyketide_cyc2	5	12	0.0234454691232284	Pfam
Root	Upregulated	PF00072.17	Response_reg	7	25	0.0315640649689926	Pfam
Root	Upregulated	PF00170.14	bZIP_1	14	81	0.036383891462222	Pfam
Root	Upregulated	PF00581.13	Rhodanese	6	20	0.0432491009150176	Pfam
Root	Upregulated	PF01344.18	Kelch_1	8	34	0.0440058977945116	Pfam
Root	Upregulated	PF01657.10	DUF26	11	58	0.044641714575276	Pfam
Root	Upregulated	PF00188.19	CAP	7	28	0.0483005577253738	Pfam
